Date,Comment,Amount,BTC/USD
2018-02-08 03:13:27,Mining payment 34240,0.00343379 BTC,8166.9
2018-02-07 02:29:57,Mining payment 34236,0.00272866 BTC,8045
2018-02-05 11:30:39,Old balance repayment,0.00204551 BTC,6953.2
2018-02-05 03:36:34,Mining payment 33389,0.00200653 BTC,6953.2
2018-02-04 04:04:47,Mining payment 33381,0.0021466 BTC,8135
2018-02-03 05:45:51,Mining payment 33375,0.00336213 BTC,9045
2018-01-31 02:27:03,Mining payment 33360,0.00200804 BTC,9959.1
2018-01-30 02:44:56,Mining payment 33356,0.00223767 BTC,10160.8
2018-01-29 02:09:40,Mining payment 33352,0.00223985 BTC,11199.9
2018-01-28 02:15:00,Mining payment 33347,0.00211485 BTC,11590.2
2018-01-27 03:05:55,Mining payment 33110,0.00208023 BTC,11521
2018-01-26 03:06:19,Mining payment 33102,0.00285204 BTC,10878.2
2018-01-25 03:25:33,Mining payment 33096,0.0031549 BTC,11241
2018-01-24 02:39:54,Mining payment 33089,0.00369543 BTC,11211.1